date,product,seoul_area,gangwon,chungbuk,chungnam,jeonbuk,jeonnam,gyeongbuk,gyeongnam,national_avg
2003.01,PE,230.0,250.0,260.0,260.0,270.0,310.0,310.0,180.0,258.8
2003.01,ABS,,,,,,,,,
2003.01,PVC,,,,,,,,,
2003.01,PS,430.0,,,490.0,500.0,,450.0,,467.5
2003.01,PP,420.0,420.0,430.0,430.0,460.0,450.0,430.0,427.0,433.4
2003.01,PE,460.0,420.0,450.0,450.0,470.0,460.0,460.0,430.0,450.0
2003.01,ABS,,,,,,,,,
2003.01,PVC,,,,,,,,,
2003.01,PS,150.0,,170.0,170.0,170.0,170.0,231.0,153.0,173.4
2003.01,PP,220.0,250.0,240.0,240.0,280.0,290.0,271.0,193.0,248.0
2003.02,ABS,,,,,,,,,
2003.02,PVC,,,,,,,,,
2003.02,PS,430.0,,330.0,500.0,500.0,470.0,450.0,490.0,452.9
2003.02,PP,420.0,420.0,380.0,430.0,460.0,450.0,430.0,427.0,427.1
2003.02,PE,460.0,420.0,460.0,450.0,470.0,460.0,460.0,430.0,451.3
2003.02,ABS,,,,,,,,,
2003.02,PVC,,,,,,,,,
2003.02,PS,170.0,,150.0,200.0,170.0,170.0,150.0,153.0,166.1
2003.02,PP,240.0,250.0,260.0,240.0,280.0,290.0,237.0,193.0,248.8
2003.02,PE,260.0,250.0,260.0,260.0,270.0,310.0,240.0,180.0,253.8
2003.03,PP,420.0,430.0,380.0,440.0,490.0,490.0,430.0,430.0,438.8
2003.03,PE,460.0,460.0,460.0,450.0,490.0,500.0,460.0,433.0,464.1
2003.03,ABS,,,,,,,,,
2003.03,PVC,,,,,,,,,
2003.03,PS,170.0,,150.0,200.0,190.0,190.0,150.0,156.0,172.3
2003.03,PP,240.0,250.0,260.0,240.0,310.0,350.0,237.0,196.0,260.4
2003.03,PE,260.0,260.0,260.0,260.0,290.0,330.0,240.0,183.0,260.4
2003.03,PS,430.0,,330.0,500.0,530.0,500.0,450.0,493.0,461.9
2003.03,PVC,,,,,,,,,
2003.03,ABS,,,,,,,,,
2003.04,ABS,,,,,,,,,
2003.04,PVC,,,,,,,,,
2003.04,PS,420.0,,330.0,500.0,530.0,500.0,450.0,485.0,459.3
2003.04,PP,420.0,450.0,380.0,440.0,490.0,490.0,430.0,432.0,441.5
2003.04,PE,457.0,480.0,460.0,450.0,490.0,500.0,460.0,440.0,467.1
2003.04,ABS,,,,,,,,,
2003.04,PVC,,,,,,,,,
2003.04,PS,150.0,,150.0,200.0,190.0,190.0,150.0,192.0,174.6
2003.04,PP,240.0,250.0,280.0,240.0,310.0,350.0,237.0,246.0,269.1
2003.04,PE,260.0,260.0,280.0,260.0,290.0,330.0,240.0,252.0,271.5
2003.05,ABS,,,,,,,,,
2003.05,PVC,,,,,,,,,
2003.05,PS,420.0,,330.0,500.0,530.0,500.0,450.0,485.0,459.3
2003.05,PP,420.0,450.0,450.0,440.0,490.0,520.0,450.0,432.0,456.5
2003.05,PE,456.0,480.0,460.0,450.0,490.0,500.0,460.0,440.0,467.0
2003.05,ABS,,,,,,,,,
2003.05,PVC,,,,,,,,,
2003.05,PS,150.0,,150.0,200.0,190.0,190.0,170.0,192.0,177.4
2003.05,PP,240.0,250.0,280.0,240.0,310.0,350.0,250.0,246.0,270.8
2003.05,PE,260.0,260.0,280.0,260.0,290.0,330.0,250.0,252.0,272.8
2003.06,ABS,,,,,,,,,
2003.06,PVC,,,,,,,,,
2003.06,PS,430.0,,330.0,480.0,530.0,500.0,450.0,485.0,457.9
2003.06,PP,420.0,450.0,460.0,420.0,490.0,500.0,450.0,432.0,452.8
2003.06,PE,457.0,480.0,470.0,450.0,490.0,520.0,460.0,440.0,470.9
2003.06,ABS,,,,,,,,,
2003.06,PVC,,,,,,,,,
2003.06,PS,150.0,,150.0,180.0,190.0,190.0,170.0,192.0,174.6
2003.06,PP,245.0,250.0,280.0,240.0,310.0,320.0,250.0,246.0,267.6
2003.06,PE,260.0,260.0,280.0,260.0,290.0,320.0,250.0,252.0,271.5
2003.07,ABS,,,,,,,,,
2003.07,PVC,,,,,,,,,
2003.07,PS,428.0,,405.0,480.0,530.0,500.0,450.0,485.0,468.3
2003.07,PP,420.0,450.0,460.0,420.0,490.0,500.0,450.0,432.0,452.8
2003.07,PE,459.0,480.0,470.0,450.0,490.0,520.0,460.0,440.0,471.1
2003.07,ABS,,,,,,,,,
2003.07,PVC,,,,,,,,,
